attention,meditation,delta,theta,lowAplha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,class
88,17,1290697,18187,6345,7462,7266,4278,2589,1228,7
88,17,105432,21344,8323,4496,4784,12071,2024,1123,7
83,29,732143,37527,48422,10286,9499,6050,2362,4157,7
80,26,21265,24517,7051,1790,9106,5771,1977,3265,7
69,20,349390,145647,10068,21707,11878,19883,9971,6592,7
27,16,867908,498411,97333,29527,21051,18554,14514,5661,7
26,10,2258194,306488,180803,45742,36697,30404,9051,5087,7
27,7,552366,51626,4747,5363,5166,11134,1899,637,7
44,17,1971479,49848,63311,60488,53003,41533,11350,5531,7
44,20,1242501,1048956,82146,239371,74163,39438,9679,9471,7
56,10,95154,50823,5037,5966,9611,6705,3273,742,7
56,10,2976857,149706,2686,24520,51883,46964,10690,3547,7
47,26,1365082,66269,118549,41989,30811,21465,14410,9573,7
40,20,320010,302563,104736,59023,38373,87945,11368,17160,7
81,14,855868,564842,99889,46614,63482,304044,81769,7570,7
81,21,492721,147416,52461,9719,25483,24847,16737,9873,7
81,7,56197,132488,16772,14281,17767,18117,7265,3231,7
78,16,138424,27610,48882,15552,11140,16660,7462,2099,7
14,13,1569534,677320,98804,72805,34986,17435,16426,12512,7
8,13,175847,19370,2891,2062,3770,1422,591,239,7
1,1,434952,637864,65785,73287,110520,36843,5145,3486,7
1,8,1311116,159974,29860,53422,23649,12280,7773,3181,7
40,17,1031944,18430,34917,14434,17485,24245,6990,1689,7
40,27,87585,87962,41192,24762,4696,9781,17939,11363,7
48,27,1440724,309077,26174,58127,90386,33326,27600,16659,7
66,30,1351374,38315,20573,24372,11324,13866,5271,2345,7
43,23,926653,395580,162460,25352,73337,33689,6626,3650,7
50,17,677619,81735,32786,23021,35049,14829,16489,2837,7
41,27,207175,91831,58694,7739,16319,7835,3257,3066,7
17,20,1593888,273392,17288,60818,48141,9506,3302,7959,7
16,20,418498,40214,9403,8823,10180,3396,2097,606,7
4,21,1019780,524915,236141,13326,27776,34619,14835,2216,7
14,16,201277,66793,17408,9810,6917,9664,3988,1056,7
23,17,333354,284493,37660,43595,19715,19813,2147,5546,7
14,11,750748,185276,1776,31811,37794,6733,3634,1770,7
4,7,339240,205013,40853,22411,37812,6563,7536,1311,7
3,7,114779,67019,17826,13181,13404,9109,2519,1444,7
3,1,247781,315227,25125,18522,16284,16550,9183,1775,7
27,8,2808539,150044,35372,56355,107630,44573,15755,10823,7
27,8,1036097,27229,12908,15965,12107,14821,3179,3626,7
61,11,1158412,19741,10184,3587,6674,8457,8977,2413,7
64,4,1089454,131920,17104,8134,19308,20071,6728,4018,7
93,13,1602555,89397,19954,46486,49389,59302,44603,4533,7
69,10,463698,102338,25542,8286,6264,4594,1221,1012,7
60,16,762753,669025,93593,156210,66133,60543,11291,13051,7
41,10,49564,107225,6570,16769,13666,14674,11498,3661,7
27,17,1302488,254017,151806,49838,78662,39901,12523,4117,7
64,10,1217361,620857,56538,135706,466650,400108,216949,164573,7
70,14,508819,51872,14100,24261,3837,10816,5852,2275,7
50,20,209186,881682,191806,73407,81041,27292,19302,5890,7
30,20,295878,109193,54324,19339,15787,15311,10527,3062,7
40,8,95128,79976,12025,4831,24999,21266,7569,2688,7
63,13,137259,46939,32760,6232,16640,11003,2415,1261,7
60,29,22821,25770,22744,27078,13606,9879,3944,1223,7
43,20,2127772,1186747,59644,127419,64729,20985,4264,2384,7
40,38,609801,242346,224900,182056,71028,101990,31409,1242,7
53,38,67523,13233,5166,10939,6372,9950,4523,2582,7
56,37,15692,10506,20799,12051,24278,6369,2440,1582,7
84,41,40001,37854,7308,14698,28540,8559,7979,1840,7
64,29,851548,556916,120503,51511,33293,26376,5311,2466,7
48,23,455998,92980,35097,4958,45991,11747,6750,4074,7
44,16,595597,97269,48057,9060,25578,17331,11909,3760,7
41,24,220054,490936,444660,240218,323997,119944,35836,37394,7
66,34,96949,27981,16381,10452,3479,6873,4676,971,7
60,23,741088,505026,34345,40489,49430,35875,8061,14515,7
63,23,983577,28615,1412,37961,18518,9287,9501,3870,7
67,23,1155432,262453,40620,74042,155051,99063,56431,54796,7
43,14,1015758,446869,46615,76597,59946,17645,46399,8647,7
26,3,444407,488729,48795,54348,7220,23457,5523,4850,7
35,8,775170,60811,27394,19359,16596,62927,11895,3160,7
35,8,1178279,40797,11968,7114,7089,4411,941,570,7
47,20,983266,7080,2266,6255,4096,1551,500,444,7
70,23,54326,15735,11182,4813,23470,10033,4323,2719,7
80,37,247161,31553,12815,39232,15872,7136,4462,2377,7
74,38,212633,88478,14224,41600,6875,46690,5144,1773,7
54,41,37487,31544,40672,10951,3171,8230,13010,5221,7
61,29,1539120,129646,10672,33012,8448,26496,11337,13053,7
44,29,59193,160268,28557,56620,25847,19325,15266,2927,7
56,26,1685535,310106,25111,42188,33253,49922,8573,5775,7
47,16,59981,33449,12635,1723,7252,2109,1218,863,7
37,27,252751,40440,30244,28890,13296,5940,2800,1781,7
35,13,199123,193842,1381,10205,3977,13553,2524,2417,7
27,23,1015219,91594,52679,31484,44747,14164,6901,3818,7
26,27,242394,316661,152298,66382,58098,23573,8039,9620,7
34,13,198183,326526,16290,58918,76076,42286,64843,19228,7
43,30,891352,84215,27542,29845,24375,21165,20846,11428,7
35,14,677263,149810,9656,5080,16274,7284,11996,6555,7
47,10,58778,36526,9882,4222,3665,5178,2954,2022,7
37,4,65785,78803,4785,4124,2108,3933,2371,442,7
29,14,926025,9162,7301,10091,3371,1792,1158,505,7
40,23,1285068,149834,35753,10548,14399,18648,6749,4691,7
35,37,349786,20022,23038,14429,8483,3981,3269,3712,7
29,43,209430,135815,29117,5681,9116,5279,8983,3145,7
35,34,137228,18039,6690,3871,3900,3215,1772,4407,7
13,27,944335,507322,67121,11358,12304,7004,22505,4249,7
16,14,528288,110201,29832,11418,10421,11386,8847,9887,7
35,11,19590,53200,6431,6244,19976,10174,3423,5785,7
23,11,151738,124889,37202,22599,7332,6380,2720,3487,7
40,23,89529,38988,11866,14688,6190,6620,5843,7083,7
23,24,522418,531476,53097,64362,73917,18495,9563,28757,7
44,48,1336225,154935,230021,38127,64457,27087,17661,8491,7
67,44,415048,11059,2901,2155,6261,5420,7656,1988,7
61,35,795732,21350,1605,5485,6803,2219,2347,909,7
75,16,232398,54486,7770,3924,17278,17241,13113,4764,7
63,24,31661,27098,7336,13616,6440,5613,5049,1330,7
70,27,83268,52600,7546,12097,3738,7625,4547,988,7
67,35,51628,41705,5263,9776,4259,9458,3187,2301,7
67,43,12251,23201,27125,33513,14563,9479,4435,1442,7
54,48,1010784,42687,16044,10236,3851,2376,1288,541,7
38,40,378085,116876,6762,9644,13651,3362,1152,1167,7
38,53,95906,10204,53626,3526,28569,12062,1095,922,7
40,41,336932,143718,50291,48233,62342,33178,23572,8260,7
67,63,102623,50972,38485,14469,15658,16280,13926,2507,7
64,51,56839,93131,18684,10923,4907,13607,1850,1955,7
53,47,26676,103312,11424,17697,7873,7343,2122,1370,7
56,30,27368,43401,3069,9791,4843,4683,2071,820,7
